time,input,output_clean,output_noisy
0.00,1.0,0.000000,-0.014409
0.10,1.0,0.000000,-0.017290
0.20,1.0,0.000000,-0.011132
0.30,1.0,0.000000,0.070198
0.40,1.0,0.000000,-0.012759
0.50,1.0,0.000000,-0.149735
0.60,1.0,0.065568,0.098800
0.70,1.0,0.128986,0.102252
0.80,1.0,0.190325,0.168629
0.90,1.0,0.249653,0.261242
1.00,1.0,0.307037,0.330266
1.10,1.0,0.362538,0.478894
1.20,1.0,0.416221,0.481885
1.30,1.0,0.468143,0.479194
1.40,1.0,0.518364,0.444531
1.50,1.0,0.566937,0.465471
1.60,1.0,0.613919,0.638553
1.70,1.0,0.659360,0.790468
1.80,1.0,0.703311,0.707477
1.90,1.0,0.745822,0.735190
2.00,1.0,0.786939,0.840116
2.10,1.0,0.826708,0.681353
2.20,1.0,0.865173,0.833945
2.30,1.0,0.902377,0.951413
2.40,1.0,0.938361,1.025702
2.50,1.0,0.973166,0.949103
2.60,1.0,1.006829,1.044489
2.70,1.0,1.039389,1.064211
2.80,1.0,1.070882,1.149115
2.90,1.0,1.101342,0.990020
3.00,1.0,1.130804,1.187629
3.10,1.0,1.159299,1.007847
3.20,1.0,1.186861,0.924866
3.30,1.0,1.213519,1.152829
3.40,1.0,1.239302,1.147721
3.50,1.0,1.264241,1.351842
3.60,1.0,1.288362,1.354789
3.70,1.0,1.311692,1.189785
3.80,1.0,1.334258,1.418994
3.90,1.0,1.356083,1.255863
4.00,1.0,1.377194,1.368569
4.10,1.0,1.397612,1.368222
4.20,1.0,1.417360,1.428802
4.30,1.0,1.436461,1.518325
4.40,1.0,1.454936,1.518778
4.50,1.0,1.472806,1.507794
4.60,1.0,1.490089,1.555084
4.70,1.0,1.506806,1.554655
4.80,1.0,1.522975,1.460276
4.90,1.0,1.538614,1.466877
5.00,1.0,1.553740,1.506743
5.10,1.0,1.568370,1.618302
5.20,1.0,1.582520,1.557509
5.30,1.0,1.596207,1.829782
5.40,1.0,1.609445,1.527516
5.50,1.0,1.622249,1.512361
5.60,1.0,1.634633,1.711480
5.70,1.0,1.646611,1.788796
5.80,1.0,1.658197,1.708766
5.90,1.0,1.669402,1.752984
6.00,1.0,1.680241,1.822875
6.10,1.0,1.690723,1.681321
6.20,1.0,1.700863,1.558567
6.30,1.0,1.710670,1.657462
6.40,1.0,1.720155,1.815445
6.50,1.0,1.729329,1.584962
6.60,1.0,1.738203,1.741556
6.70,1.0,1.746786,1.772110
6.80,1.0,1.755087,1.723528
6.90,1.0,1.763116,1.835480
7.00,1.0,1.770882,1.828960
7.10,1.0,1.778394,2.010535
7.20,1.0,1.785659,1.847656
7.30,1.0,1.792686,1.731745
7.40,1.0,1.799482,1.743303
7.50,1.0,1.806056,1.722898
7.60,1.0,1.812414,1.907642
7.70,1.0,1.818564,1.761881
7.80,1.0,1.824512,1.817486
7.90,1.0,1.830265,1.905196
8.00,1.0,1.835830,1.763484
8.10,1.0,1.841212,1.811846
8.20,1.0,1.846418,1.662289
8.30,1.0,1.851453,1.743205
8.40,1.0,1.856323,1.799549
8.50,1.0,1.861033,1.902609
8.60,1.0,1.865589,1.984938
8.70,1.0,1.869995,1.868149
8.80,1.0,1.874258,1.900394
8.90,1.0,1.878380,1.895177
9.00,1.0,1.882367,1.990841
9.10,1.0,1.886224,1.975559
9.20,1.0,1.889954,1.917323
9.30,1.0,1.893561,1.792467
9.40,1.0,1.897051,1.987389
9.50,1.0,1.900426,1.938531
9.60,1.0,1.903690,2.026384
9.70,1.0,1.906848,1.903857
9.80,1.0,1.909902,2.105212
9.90,1.0,1.912855,1.876968
10.00,1.0,1.915712,2.075018
10.10,1.0,1.918476,1.929987
10.20,1.0,1.921148,1.869521
10.30,1.0,1.923733,1.810889
10.40,1.0,1.926234,1.911131
10.50,1.0,1.928652,2.070984
10.60,1.0,1.930991,2.012629
10.70,1.0,1.933253,2.002142
10.80,1.0,1.935442,1.697854
10.90,1.0,1.937558,2.008655
11.00,1.0,1.939605,1.995190
11.10,1.0,1.941585,1.886593
11.20,1.0,1.943500,1.880762
11.30,1.0,1.945353,1.945122
11.40,1.0,1.947144,2.119632
11.50,1.0,1.948877,1.843367
11.60,1.0,1.950553,1.907772
11.70,1.0,1.952174,2.088352
11.80,1.0,1.953742,1.909127
11.90,1.0,1.955258,1.918833
12.00,1.0,1.956725,1.966503
12.10,1.0,1.958144,1.834015
12.20,1.0,1.959516,1.981511
12.30,1.0,1.960843,1.839882
12.40,1.0,1.962127,2.050647
12.50,1.0,1.963369,1.963687
12.60,1.0,1.964570,2.192913
12.70,1.0,1.965731,1.993815
12.80,1.0,1.966855,2.103424
12.90,1.0,1.967941,1.837615
13.00,1.0,1.968992,1.956778
13.10,1.0,1.970009,2.002323
