"target"	"k"	"p"	"q"	"alpha"	"C"	"stdev"
"phi"	"2"	"2"	"1"	"2.00000000000"	"0.383089552967408"	"         -5
1.73 × 10"
"phi"	"3"	"3"	"2"	"1.50000000000"	"0.253274077340826"	"         -5
2.20 × 10"
"phi"	"4"	"5"	"3"	"1.66666666667"	"0.285114402484960"	"         -5
1.53 × 10"
"phi"	"5"	"8"	"5"	"1.60000000000"	"0.268421403939437"	"         -5
1.56 × 10"
"phi"	"6"	"13"	"8"	"1.62500000000"	"0.271142576579681"	"         -5
1.40 × 10"
"phi"	"7"	"21"	"13"	"1.61538461538"	"0.269323151123259"	"         -5
1.42 × 10"
"phi"	"8"	"34"	"21"	"1.61904761905"	"0.269454487714455"	"         -5
1.38 × 10"
"phi"	"9"	"55"	"34"	"1.61764705882"	"0.269339991063787"	"         -5
1.40 × 10"
"phi"	"10"	"89"	"55"	"1.61818181818"	"0.269340394118598"	"         -5
1.40 × 10"
"phi"	"inf"	"-"	"-"	"1.61803398875"	"0.269339991082791"	"         -5
1.40 × 10"
"bessel"	"1"	"3"	"2"	"1.50000000000"	"0.253274077340826"	"         -5
2.20 × 10"
"bessel"	"2"	"10"	"7"	"1.42857142857"	"0.216898171955584"	"         -5
1.75 × 10"
"bessel"	"3"	"43"	"30"	"1.43333333333"	"0.217090410245399"	"         -5
1.66 × 10"
"bessel"	"4"	"225"	"157"	"1.43312101911"	"0.216995415920488"	"         -5
1.67 × 10"
"bessel"	"inf"	"-"	"-"	"1.43312742672"	"0.216995415920488"	"         -5
1.67 × 10"
