"alpha"	"C"	"p"	"q"
"1.25000000000"	"0.156361682399449"	5	4
"1.33333333333"	"0.192436449596922"	4	3
"1.50000000000"	"0.253274077340826"	3	2
"1.66666666667"	"0.285114402484960"	5	3
"1.75000000000"	"0.296234114912580"	7	4
"2.00000000000"	"0.383089552967408"	2	1
"2.25000000000"	"0.392294733235777"	9	4
"2.33333333333"	"0.398705628820362"	7	3
"2.50000000000"	"0.412900156981703"	5	2
"2.66666666667"	"0.417574016037856"	8	3
"2.75000000000"	"0.418969903791656"	11	4
"3.00000000000"	"0.456713764354583"	3	1
"3.25000000000"	"0.457539889217059"	13	4
"3.33333333333"	"0.458821841232772"	10	3
"3.50000000000"	"0.462862998203642"	7	2
"3.66666666667"	"0.463670337053902"	11	3
"3.75000000000"	"0.463840064315331"	15	4
"4.00000000000"	"0.481321295380587"	4	1
"4.25000000000"	"0.481396050040363"	17	4
"4.33333333333"	"0.481635890789592"	13	3
"4.50000000000"	"0.482821424542522"	9	2
"4.66666666667"	"0.482959378378232"	14	3
"4.75000000000"	"0.482977131226655"	19	4
"5.00000000000"	"0.491293232059073"	5	1
"5.25000000000"	"0.491299538422144"	21	4
"5.33333333333"	"0.491340171488897"	16	3
"5.50000000000"	"0.491681214132440"	11	2
"5.66666666667"	"0.491703406850265"	17	3
"5.75000000000"	"0.491704998610470"	23	4
"6.00000000000"	"0.495718253364626"	6	1
