"alpha"	"C"	"p"	"q"
"1.50000000000"	"0.253274077340826"	3	2
"1.54545454545"	"0.257140476970560"	17	11
"1.55555555556"	"0.258939219073360"	14	9
"1.57142857143"	"0.262086189569724"	11	7
"1.58333333333"	"0.263118224311374"	19	12
"1.60000000000"	"0.268421403939437"	8	5
"1.62500000000"	"0.271142576579681"	13	8
"1.63636363636"	"0.272111460501099"	18	11
"1.66666666667"	"0.285114402484960"	5	3
"1.70000000000"	"0.286888326384297"	17	10
"1.71428571429"	"0.288995146003965"	12	7
"1.72727272727"	"0.289728998396380"	19	11
"1.75000000000"	"0.296234114912580"	7	4
"1.77777777778"	"0.297636577139155"	16	9
"1.80000000000"	"0.301438368335162"	9	5
"1.81818181818"	"0.302037813706777"	20	11
"1.83333333333"	"0.304258480934050"	11	6
"1.85714285714"	"0.305928180255245"	13	7
"1.87500000000"	"0.306976961404188"	15	8
"1.88888888889"	"0.307663937074060"	17	9
"1.90000000000"	"0.308128062559715"	19	10
"1.90909090909"	"0.308449067077789"	21	11
"1.91666666667"	"0.308675132955885"	23	12
"2.00000000000"	"0.383089552967408"	2	1
"2.08333333333"	"0.383569037242546"	25	12
"2.09090909091"	"0.383749263075608"	23	11
"2.10000000000"	"0.384003607958380"	21	10
"2.11111111111"	"0.384367813808329"	19	9
"2.12500000000"	"0.384899179731387"	17	8
"2.14285714286"	"0.385693513317236"	15	7
"2.16666666667"	"0.386919838090305"	13	6
"2.18181818182"	"0.387055804440724"	24	11
"2.20000000000"	"0.388898070751004"	11	5
"2.22222222222"	"0.389177060529111"	20	9
"2.25000000000"	"0.392294733235777"	9	4
"2.27272727273"	"0.392397387681035"	25	11
"2.28571428571"	"0.392908697466041"	16	7
"2.30000000000"	"0.393030135829894"	23	10
"2.33333333333"	"0.398705628820362"	7	3
"2.36363636364"	"0.398781172123515"	26	11
"2.37500000000"	"0.399015239048834"	19	8
"2.40000000000"	"0.400224294008099"	12	5
"2.41666666667"	"0.400253926330513"	29	12
"2.42857142857"	"0.400591245042112"	17	7
"2.44444444444"	"0.400702967625411"	22	9
"2.45454545455"	"0.400740307801355"	27	11
"2.50000000000"	"0.412900156981703"	5	2
"2.54545454545"	"0.412937899009174"	28	11
"2.55555555556"	"0.413010270039770"	23	9
"2.57142857143"	"0.413234644839536"	18	7
"2.58333333333"	"0.413246503450710"	31	12
"2.60000000000"	"0.414016166708379"	13	5
"2.62500000000"	"0.414122947556434"	21	8
"2.63636363636"	"0.414138924525872"	29	11
"2.66666666667"	"0.417574016037856"	8	3
"2.70000000000"	"0.417599881778632"	27	10
"2.71428571429"	"0.417743304177494"	19	7
"2.72727272727"	"0.417753542713464"	30	11
"2.75000000000"	"0.418969903791656"	11	4
"2.77777777778"	"0.419001983725806"	25	9
"2.80000000000"	"0.419485998588508"	14	5
"2.81818181818"	"0.419492590229409"	31	11
"2.83333333333"	"0.419697523322645"	17	6
"2.85714285714"	"0.419789232595093"	20	7
"2.87500000000"	"0.419830281796013"	23	8
"2.88888888889"	"0.419848983848287"	26	9
"2.90000000000"	"0.419857580718862"	29	10
"2.90909090909"	"0.419861544798759"	32	11
"2.91666666667"	"0.419863371005796"	35	12
"3.00000000000"	"0.456713764354583"	3	1
"3.08333333333"	"0.456715082841030"	37	12
"3.09090909091"	"0.456716672472811"	34	11
"3.10000000000"	"0.456720149911305"	31	10
"3.11111111111"	"0.456727759248044"	28	9
"3.12500000000"	"0.456744482013604"	25	8
"3.14285714286"	"0.456781598015646"	22	7
"3.16666666667"	"0.456865471944689"	19	6
"3.18181818182"	"0.456866434005938"	35	11
"3.20000000000"	"0.457060871872339"	16	5
"3.22222222222"	"0.457065535444349"	29	9
"3.25000000000"	"0.457539889217059"	13	4
"3.27272727273"	"0.457540474650622"	36	11
"3.28571428571"	"0.457562967756523"	23	7
"3.30000000000"	"0.457564228335331"	33	10
"3.33333333333"	"0.458821841232772"	10	3
"3.36363636364"	"0.458822198238052"	37	11
"3.37500000000"	"0.458828298688521"	27	8
"3.40000000000"	"0.458945137933737"	17	5
"3.41666666667"	"0.458945227503359"	41	12
"3.42857142857"	"0.458958733073397"	24	7
"3.44444444444"	"0.458960380000706"	31	9
"3.45454545455"	"0.458960578477665"	38	11
"3.50000000000"	"0.462862998203642"	7	2
