"alpha"	"C"	"label"
"1.41421356237"	"0.211973552128754"	"sqrt(2)"
"2.14159265359"	"0.384938363644870"	"Pi-1"
"1.71828182846"	"0.288997725317044"	"e-1"
"1.61803398875"	"0.269339991082791"	"phi"
"1.73205080757"	"0.289755932382596"	"sqrt(3)"
"2.23606797750"	"0.389230368412392"	"sqrt(5)"
"2.44948974278"	"0.400702970421592"	"sqrt(6)"
"2.64575131106"	"0.414141502730700"	"sqrt(7)"
"2.82842712475"	"0.419492686479265"	"sqrt(8)"
"3.16227766017"	"0.456781795298668"	"sqrt(10)"
"3.14159265359"	"0.456744521049596"	"Pi"
"2.71828182846"	"0.417743304177498"	"e"
"2.41421356237"	"0.400226988699286"	"1+sqrt(2)"
"2.61803398875"	"0.414021972566002"	"1+phi"
