"k","2k+1","nu_p(D)","nu_p(N)","Diff"
1,3,0,0,0
5,11,1,0,1
16,33,2,1,1
27,55,3,2,1
38,77,4,3,1
49,99,5,4,1
60,121,7,6,1
71,143,8,7,1
82,165,9,8,1
93,187,10,9,1
104,209,11,10,1
115,231,12,11,1
126,253,13,12,1
137,275,14,13,1
148,297,15,14,1
159,319,16,15,1
170,341,17,16,1
181,363,19,18,1
192,385,20,19,1
203,407,21,20,1
214,429,22,21,1
225,451,23,22,1
236,473,24,23,1
247,495,25,24,1
258,517,26,25,1
269,539,27,26,1
280,561,28,27,1
291,583,29,28,1
302,605,31,30,1
313,627,32,31,1
324,649,33,32,1
335,671,34,33,1
346,693,35,34,1
357,715,36,35,1
368,737,37,36,1
379,759,38,37,1
390,781,39,38,1
401,803,40,39,1
412,825,41,40,1
423,847,43,42,1
434,869,44,43,1
445,891,45,44,1
456,913,46,45,1
467,935,47,46,1
478,957,48,47,1
489,979,49,48,1
500,1001,50,49,1
511,1023,51,50,1
522,1045,52,51,1
533,1067,53,52,1
544,1089,55,54,1
555,1111,56,55,1
566,1133,57,56,1
577,1155,58,57,1
588,1177,59,58,1
599,1199,60,59,1
610,1221,61,60,1
621,1243,62,61,1
632,1265,63,62,1
643,1287,64,63,1
654,1309,65,64,1
665,1331,68,67,1
676,1353,69,68,1
687,1375,70,69,1
698,1397,71,70,1
709,1419,72,71,1
720,1441,73,72,1
731,1463,74,73,1
742,1485,75,74,1
753,1507,76,75,1
764,1529,77,76,1
775,1551,78,77,1
786,1573,80,79,1
797,1595,81,80,1
808,1617,82,81,1
819,1639,83,82,1
830,1661,84,83,1
841,1683,85,84,1
852,1705,86,85,1
863,1727,87,86,1
874,1749,88,87,1
885,1771,89,88,1
896,1793,90,89,1
907,1815,92,91,1
918,1837,93,92,1
929,1859,94,93,1
940,1881,95,94,1
951,1903,96,95,1
962,1925,97,96,1
973,1947,98,97,1
984,1969,99,98,1
995,1991,100,99,1
