"n","k_babylon","m1","m2","babylon_log10_error","nested_log10_error","deviation"
2,1,1,0,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","0.e-99","5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013"
2,1,1,1,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","1.5311242461512462415283964463285904520573869813562049592757631046259886859239473424666465085063"
2,1,1,2,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-26.656759357334198053355549057411648804899489700635215359533414599427068347","21.435439031154438150402720093897785965874957926631079587250381587364572781"
2,1,1,3,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,1,4,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,1,5,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,2,0,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","0.e-99","5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013"
2,1,2,1,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","0.e-93"
2,1,2,2,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-48.092197736254530439241922412403303414251893550118329","42.870877410074770536289093448889440575227361776114193"
2,1,2,3,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,2,4,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,2,5,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,3,0,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","0.e-99","5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013"
2,1,3,1,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","1.53110337438558565115916605180999479608146409236176317048332921725591801558539081364921305704"
2,1,3,2,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-75.65204708058067207823869","70.43072675440091217528586"
2,1,3,3,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,3,4,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,1,3,5,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-","-DirectedInfinity-"
2,2,1,0,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","0.e-99","11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285"
2,2,1,1,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","7.6555358637906714889335415709053198092637560062965792553980077915802262122441198689305055"
2,2,1,2,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-26.656759357334198053355549057411648804899489700635215359533414599427068347","15.311027413515012902997574969321056608668588901690705291128136900410335255"
2,2,1,3,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,1,4,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,1,5,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,2,0,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","0.e-99","11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285"
2,2,2,1,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","6.124411617639425247405145124576729357206369024940374296122244686954237526320172526463859"
2,2,2,2,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-48.092197736254530439241922412403303414251893550118329","36.746465792435345288883948324312711218020992751173819"
2,2,2,3,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,2,4,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,2,5,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,3,0,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","0.e-99","11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285"
2,2,3,1,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","4.5933082432538395962459790727667345611249049325786111256389154696983195107347817128146459"
2,2,3,2,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-75.65204708058067207823869","64.30631513676148692788071"
2,2,3,3,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,3,4,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,2,3,5,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285","-DirectedInfinity-","-DirectedInfinity-"
2,3,1,0,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","0.e-99","23.594553874631293426800352587948762289965107037931432564359889055231969084784"
2,3,1,1,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","19.90435779460277976537592007076348990299796224528350175135261914779546220498"
2,3,1,2,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-26.656759357334198053355549057411648804899489700635215359533414599427068347","3.062205482702904626555196469462886514934382662703782795173525544195099262"
2,3,1,3,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,1,4,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,1,5,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,2,0,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","0.e-99","23.594553874631293426800352587948762289965107037931432564359889055231969084784"
2,3,2,1,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","18.373233548451533523847523624434899450940575263927296792076856043169473519056"
2,3,2,2,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-48.092197736254530439241922412403303414251893550118329","24.497643861623237012441569824454541124286786512186896"
2,3,2,3,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,2,4,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,2,5,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,3,0,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","0.e-99","23.594553874631293426800352587948762289965107037931432564359889055231969084784"
2,3,3,1,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","16.842130174065947872688357572624904654859111171565533621593526825913555503471"
2,3,3,2,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-75.65204708058067207823869","52.05749320594937865143834"
2,3,3,3,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,3,4,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,3,3,5,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784","-DirectedInfinity-","-DirectedInfinity-"
2,4,1,0,"-48.092197736254530439241922412403303414251893550118329","0.e-99","48.092197736254530439241922412403303414251893550118329"
2,4,1,1,"-48.092197736254530439241922412403303414251893550118329","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","44.402001656226016777817489895218031027284748757470398"
2,4,1,2,"-48.092197736254530439241922412403303414251893550118329","-26.656759357334198053355549057411648804899489700635215359533414599427068347","21.435438378920332385886373354991654609352403849483113"
2,4,1,3,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,1,4,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,1,5,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,2,0,"-48.092197736254530439241922412403303414251893550118329","0.e-99","48.092197736254530439241922412403303414251893550118329"
2,4,2,1,"-48.092197736254530439241922412403303414251893550118329","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","42.870877410074770536289093448889440575227361776114193"
